Attraction_id,Name,Type ,Ratings,Season_availability,Dzongkhag,Fee
142,Thimphu Tshechu,Festival,4.7,Autumn,Thimphu,Free
143,Mongar Tshechu,Festival,4.6,Autumn,Mongar,Free
144,Mongar Dzong,Landmark,4.7,Year-round,Mongar,Free
145,Lhuntse Dzong,Landmark,4.8,Year-round,Lhuentse,Free
146,Trashiyangtse Dzong,Landmark,4.7,Year-round,Trashigang,Free
147,Trashigang Tshechu,Festival,4.6,Autumn,Trashigang,Free
148,Tshechu at Dochula Pass,Festival,4.7,Spring,Thimphu,Free
149,Druk Wangyel Tshechu,Festival,4.6,Winter,Thimphu,Free
150,Bhutan International Marathon,Marathon,4.8,Spring,Thimphu,500
151,Jigme Dorji Wangchuck National Park,Park,4.7,Year-round,Gasa,Free
152,Kurje Lhakhang,Monastery,4.6,Year-round,Bumthang,Free
153,Chimi Lhakhang,Monastery,4.8,Year-round,Punakha,Free
154,Dungtse Lhakhang,Monastery,4.7,Year-round,Paro,Free
155,Tashichho Dzong Tshechu,Festival,4.7,Autumn,Thimphu,Free
156,Nalanda Buddhist Institute,Institute,4.6,Year-round,Punakha,200
157,Rinchengang Village,Village,4.8,Year-round,Paro,Free
158,Gomphu Kora,Festival,4.7,Spring,Trashigang,Free
159,Singye Dzong Tshechu,Festival,4.6,Spring,Lhuentse,Free
160,Druk Path Trek,Trek,4.9,Autumn,Thimphu,Free
161,Zhabdrung Ngawang Namgyal’s Stupa,Stupa,4.8,Year-round,Punakha,Free
162,Bhutanese Paper Factory,Factory,4.7,Year-round,Thimphu,Free
163,Dochula Pass 108 Chortens,Landmark,4.6,Year-round,Thimphu,Free
164,National Handicrafts Emporium,Market,4.8,Year-round,Thimphu,Free
165,Tango Monastery,Monastery,4.7,Year-round,Thimphu,Free
166,National Library of Bhutan,Library,4.6,Year-round,Thimphu,Free
167,Chendebji Chorten,Chorten,4.7,Year-round,Trongsa,Free
168,Kurjey Lhakhang,Monastery,4.8,Year-round,Bumthang,Free
169,Trashi Chhoe Dzong,Dzong,4.7,Year-round,Trashi-Yangtse,Free
170,Lhuentse Dzong,Dzong,4.8,Year-round,Lhuentse,Free
171,Takila,Landmark,4.7,Year-round,Bumthang,Free
172,Gom Kora,Temple,4.8,Year-round,Trashigang,Free
173,Bumthang Brewery,Brewery,4.7,Year-round,Bumthang,Free
174,Chokhor Valley,Valley,4.6,Year-round,Bumthang,Free
175,Khuru National Championship,Game,4.8,Spring,Thimphu,200
176,Trashigang Tsechu,Festival,4.7,Autumn,Trashigang,Free
177,Thimphu Tsechu,Festival,4.8,Autumn,Thimphu,Free
178,Bumthang Tshechu,Festival,4.7,Spring,Bumthang,Free
179,Haa Summer Festival,Festival,4.6,Summer,Haa,Free
180,Punakha Dromche,Festival,4.8,Spring,Punakha,Free
181,Trongsa Tsechu,Festival,4.7,Autumn,Trongsa,Free
182,Nimalung Tsechu,Festival,4.6,Spring,Bumthang,Free
183,Kurjey Tshechu,Festival,4.7,Summer,Bumthang,Free
184,Jambay Lhakhang Drup,Festival,4.8,Autumn,Bumthang,Free
185,Ura Yakchoe,Festival,4.7,Spring,Bumthang,Free
186,Mongar Tshechu,Festival,4.6,Autumn,Mongar,Free
187,Gomphukora Tshechu,Festival,4.8,Spring,Trashigang,Free
188,Haa Tshechu,Festival,4.7,Spring,Haa,Free
189,Tsirang Tshechu,Festival,4.6,Autumn,Tsirang,Free
190,Pemagatshel Tshechu,Festival,4.7,Autumn,Pemagatshel,Free
191,Mongar Tshechu,Festival,4.6,Autumn,Mongar,Free
192,Lhuntse Tshechu,Festival,4.7,Winter,Lhuentse,Free
193,Trashiyangtse Tshechu,Festival,4.6,Spring,Trashi-Yangtse,Free
194,Jomolhari Mountain Festival,Festival,4.7,Autumn,Paro,Free
195,Jakar Dzong Tshechu,Festival,4.6,Spring,Bumthang,Free
196,Punakha Domche,Festival,4.8,Spring,Punakha,Free
197,Gasa Tshechu,Festival,4.7,Spring,Gasa,Free
198,Bumthang Ura Yakchoe Festival,Festival,4.6,Spring,Bumthang,Free
199,Paro Taktsang,Monastery,4.8,Year-round,Paro,Free
200,Gangtey Goenpa Lodge,Lodge,4.7,Year-round,Wangdue Phodrang,600
201,Samtengang Winter Trek,Trek,4.9,Winter,Wangdue Phodrang,Free
202,Dochula Pass Meditation Retreat,Retreat,4.8,Year-round,Thimphu,1000
203,Paro Weekend Market,Market,4.7,Year-round,Paro,Free
204,Khamsa Yulley Namgyal Chorten Museum,Museum,4.6,Year-round,Punakha,200
205,Paro Town,Town,4.7,Year-round,Paro,Free
206,Haa Valley Excursion,Tour,4.8,Year-round,Haa,800
207,Phobjikha Crane Information Centre,Center,4.7,Year-round,Wangdue Phodrang,Free
208,Trongsa Heritage Museum,Museum,4.8,Year-round,Trongsa,200
209,Taktshang Pelphug Monastery,Monastery,4.9,Year-round,Paro,Free
210,Gasa Hot Springs,Hot Spring,4.7,Year-round,Gasa,300
211,Jambay Lhakhang,Monastery,4.8,Year-round,Bumthang,Free
212,Thimphu Weekend Market,Market,4.7,Year-round,Thimphu,Free
213,Trashigang Weekend Market,Market,4.6,Year-round,Trashigang,Free
214,Tachog Lhakhang,Monastery,4.8,Year-round,Paro,Free
215,Wangdue Phodrang Weekend Market,Market,4.7,Year-round,Wangdue Phodrang,Free
216,Paro Airport,Airport,4.8,Year-round,Paro,Free
217,Trashigang Airport,Airport,4.7,Year-round,Trashigang,Free
218,Jakar Airport,Airport,4.8,Year-round,Bumthang,Free
219,Paro Dzong,Landmark,4.9,Year-round,Paro,300
220,Wangdue Phodrang Dzong,Landmark,4.8,Year-round,Wangdue Phodrang,300
221,Trongsa Dzong,Landmark,4.9,Year-round,Trongsa,150
222,Paro Museum,Museum,4.7,Year-round,Paro,200
223,Thimphu Clock Tower,Landmark,4.8,Year-round,Thimphu,Free
224,Tashichho Dzong,Landmark,4.9,Year-round,Thimphu,300
225,Semtokha Dzong,Landmark,4.7,Year-round,Thimphu,300
226,Buddha Point,Landmark,4.8,Year-round,Thimphu,Free
227,Memorial Chorten,Landmark,4.6,Year-round,Thimphu,300
228,Trashi Chhoe Dzong,Landmark,4.7,Year-round,Trashi-Yangtse,Free
229,Trashigang Dzong,Landmark,4.8,Year-round,Trashigang,300
230,Punakha Dzong,Landmark,4.9,Year-round,Punakha,300
231,Rinpung Dzong,Landmark,4.8,Year-round,Paro,Free
232,Drukgyel Dzong,Landmark,4.6,Year-round,Paro,Free
233,Gangtey Monastery,Monastery,4.8,Year-round,Wangdue Phodrang,Free
234,Tango Monastery,Monastery,4.7,Year-round,Thimphu,Free
235,Dechen Phodrang Monastery,Monastery,4.9,Year-round,Trashi-Yangtse,Free
236,Kyichu Lhakhang,Monastery,4.8,Year-round,Paro,Free
237,Thangtong Dewachen Nunnery,Monastery,4.7,Year-round,Trashi-Yangtse,Free
238,Cheri Monastery,Monastery,4.8,Year-round,Thimphu,Free
239,Ralung Monastery,Monastery,4.7,Year-round,Paro,Free
240,Tamshing Monastery,Monastery,4.6,Year-round,Bumth,Free
241,Chokhor Valley,Valley,4.8,Year-round,Bumthang,Free
242,Phobjikha Valley,Valley,4.7,Year-round,Wangdue Phodrang,Free
243,Haa Valley,Valley,4.8,Year-round,Haa,Free
244,Punakha Valley,Valley,4.6,Year-round,Punakha,Free
245,Thimphu Valley,Valley,4.7,Year-round,Thimphu,Free
246,Paro Valley,Valley,4.9,Year-round,Paro,Free
247,Wangdue Phodrang Valley,Valley,4.6,Year-round,Wangdue Phodrang,Free
248,Trongsa Valley,Valley,4.8,Year-round,Trongsa,Free
249,Trashigang Valley,Valley,4.7,Year-round,Trashigang,Free
250,Trashiyangtse Valley,Valley,4.6,Year-round,Trashigang,Free
251,Lhuntse Valley,Valley,4.8,Year-round,Lhuentse,Free
252,Phuentsholing,Town,4.7,Year-round,Chhukha,Free
253,Paro Market,Market,4.8,Year-round,Paro,Free
254,Wangdue Phodrang Market,Market,4.6,Year-round,Wangdue Phodrang,Free
255,Punakha Market,Market,4.7,Year-round,Punakha,Free
256,Thimphu Weekend Market,Market,4.8,Year-round,Thimphu,Free
257,Trashigang Market,Market,4.7,Year-round,Trashigang,Free
258,Tashigang Weekend Market,Market,4.6,Year-round,Trashigang,Free
259,Mongar Market,Market,4.8,Year-round,Mongar,Free
260,Lhuentse Market,Market,4.7,Year-round,Lhuentse,Free
261,Bumthang Market,Market,4.8,Year-round,Bumthang,Free
262,Gelephu Weekend Market,Market,4.7,Year-round,Sarpang,Free
263,Trongsa Market,Market,4.8,Year-round,Trongsa,Free
264,Royal Textile Academy Boutique,Boutique,4.7,Year-round,Thimphu,Free
265,Bhutan Craft Bazaar,Bazaar,4.8,Year-round,Thimphu,Free
266,Bhutan Postal Museum,Museum,4.7,Year-round,Thimphu,200
267,National Handicrafts Emporium,Emporium,4.8,Year-round,Thimphu,Free
268,Dochula Pass,Mountain,4.6,Year-round,Thimphu,Free
269,Phajoding Monastery,Monastery,4.7,Year-round,Thimphu,Free
270,Tachogang Lhakhang,Monastery,4.6,Year-round,Paro,Free
271,Kyichu Lhakhang,Monastery,4.7,Year-round,Paro,Free
272,Tamzhing Lhakhang Nunnery,Monastery,4.8,Year-round,Bumthang,Free
273,Gangtey Monastery,Monastery,4.7,Year-round,Wangdue Phodrang,Free
274,Cheri Monastery,Monastery,4.6,Year-round,Thimphu,Free
275,Dechen Phodrang Monastery,Monastery,4.7,Year-round,Thimphu,Free
276,Tango Monastery,Monastery,4.8,Year-round,Thimphu,Free
277,Rinpung Dzong,Dzong,4.7,Year-round,Paro,300
278,Trashigang Dzong,Dzong,4.8,Year-round,Trashigang,300
279,Punakha Dzong,Dzong,4.7,Year-round,Punakha,300
280,Wangdue Phodrang Dzong,Dzong,4.8,Year-round,Wangdue Phodrang,300
281,Simtokha Dzong,Dzong,4.7,Year-round,Thimphu,300
282,Lhuntse Dzong,Dzong,4.8,Year-round,Lhuentse,300
283,Mongar Dzong,Dzong,4.7,Year-round,Mongar,300
284,Trongsa Dzong,Dzong,4.8,Year-round,Trongsa,300
285,National Institute for Zorig Chusum,Institute,4.7,Year-round,Thimphu,200
286,Institute of Traditional Medicine,Institute,4.8,Year-round,Thimphu,Free
287,Royal Thimphu College,College,4.7,Year-round,Thimphu,Free
288,Sherubtse College,College,4.8,Year-round,Trashigang,Free
289,College of Natural Resources,College,4.7,Year-round,Punakha,Free
290,Paro College of Education,College,4.6,Year-round,Paro,Free
291,Khesar Gyalpo University of Medical Sci.,University,4.8,Year-round,Thimphu,Free
292,Royal University of Bhutan,University,4.7,Year-round,Thimphu,Free
293,Gedu College of Business Studies,College,4.8,Year-round,Chhukha,Free
294,Yonphula Centenary College,College,4.7,Year-round,Trashigang,Free
295,Paro College of Science & Technology,College,4.8,Year-round,Paro,Free
296,"The Royal Academy, Pangbisa",Academy,4.7,Year-round,Thimphu,Free
297,Lhuentse Dzongkhag Cultural Museum,Museum,4.8,Year-round,Lhuentse,200
298,National Museum Paro,Museum,4.7,Year-round,Paro,300
299,Bhutan Textile Museum,Museum,4.8,Year-round,Thimphu,200
300,Royal Academy of Performing Arts,Academy,4.7,Year-round,Thimphu,Free
301,National Institute for the Visually Impaired,Institute,4.6,Year-round,Khaling,Free
302,Folk Heritage Museum,Museum,4.7,Year-round,Thimphu,200
303,Jungshi Handmade Paper Factory,Factory,4.8,Year-round,Thimphu,Free
304,National Institute of Traditional Medicine,Institute,4.7,Year-round,Thimphu,Free
305,Bhutanese Folk Museum,Museum,4.6,Year-round,Thimphu,200
306,Bhutan Postal Museum,Museum,4.7,Year-round,Thimphu,200
307,Royal Textile Academy Boutique,Boutique,4.8,Year-round,Thimphu,Free
